"symbol","fy","FY_symbol","CashFlowOperations","Cash","PreTaxIncome","Interest","FixedAssets","PropertyPlantAndEquipment","DepreciationAmortization","Assets","NetIncomeLoss","Equity","CurrentLiabilities","CurrentAssets","AccountsReceivable","Revenues","debt","EBITDA"
"A",2017,"2017 A",8.89e+08,2.678e+09,6.87e+08,7.9e+07,1.032e+09,7.57e+08,2.12e+08,8.426e+09,8.41e+08,4.831e+09,1.263e+09,4.169e+09,7.24e+08,4.472e+09,3.595e+09,8.99e+08
"AAL",2017,"2017 AAL",4.744e+09,2.95e+08,3.084e+09,1.053e+09,4.225e+10,NA,2.2e+09,5.1396e+10,1.919e+09,3.926e+09,1.4964e+10,9.146e+09,1.752e+09,4.2207e+10,4.747e+10,5.284e+09
"AAP",2017,"2017 AAP",600805000,546937000,NA,53509000,3055409000,1394138000,249260000,8482301000,475505000,3415196000,3480097000,5426892000,606357000,9373784000,5067105000,NA
"AAPL",2017,"2017 AAPL",6.3598e+10,2.0289e+10,4.47e+10,2.323e+09,3.3783e+10,3.3783e+10,8.2e+09,3.75319e+11,4.8351e+10,1.34047e+11,1.00814e+11,1.28645e+11,1.7874e+10,2.29234e+11,2.41272e+11,5.29e+10
"ABBV",2017,"2017 ABBV",NA,9.303e+09,1.0405e+10,1.15e+09,2.803e+09,2.803e+09,4.25e+08,7.0786e+10,5.309e+09,5.097e+09,1.6641e+10,2.1223e+10,5.088e+09,2.8216e+10,6.5689e+10,1.083e+10
"ABC",2017,"2017 ABC",1504138000,2435115000,523166000,125300000,11013171000,1797945000,397603000,35316470000,364484000,2064461000,26818165000,24303299000,10303324000,153143826000,33252009000,920769000
"ABT",2017,"2017 ABT",5.57e+09,9.407e+09,1.923e+09,9.04e+08,8.9e+09,7.607e+09,1.046e+09,7.625e+10,4.77e+08,3.0897e+10,8.912e+09,2.0147e+10,5.249e+09,2.739e+10,4.5353e+10,2.969e+09
"ACN",2017,"2017 ACN",4973039000,4126860000,NA,15545000,10592601000,1140598000,801789000,22689890000,3445149000,8949477000,9824279000,12097289000,4569214000,36765478000,13740413000,NA
"ADBE",2017,"2017 ADBE",2912853000,2306072000,1081485000,74402000,7287743000,936976000,325997000,14535556000,1693954000,8459869000,3527457000,7247813000,1217968000,7301505000,6075687000,1407482000
"ADI",2017,"2017 ADI",1112592000,226160000,718920000,250840000,17682652000,1107304000,194666000,21141294000,727259000,10161540000,1596332000,2351338000,688953000,5107503000,10979754000,913586000
