"symbol","fy","FY_symbol","CashFlowOperations","Cash","PreTaxIncome","Interest","FixedAssets","PropertyPlantAndEquipment","DepreciationAmortization","Assets","NetIncomeLoss","Equity","CurrentLiabilities","CurrentAssets","AccountsReceivable","Revenues","debt","EBITDA"
"A",2017,"2017 A",8.89e+08,2.678e+09,6.87e+08,7.9e+07,1.032e+09,7.57e+08,2.12e+08,8.426e+09,8.41e+08,4.831e+09,1.263e+09,4.169e+09,7.24e+08,4.472e+09,3.595e+09,8.99e+08
"AAPL",2017,"2017 AAPL",6.3598e+10,2.0289e+10,4.47e+10,2.323e+09,3.3783e+10,3.3783e+10,8.2e+09,3.75319e+11,4.8351e+10,1.34047e+11,1.00814e+11,1.28645e+11,1.7874e+10,2.29234e+11,2.41272e+11,5.29e+10
"ABC",2017,"2017 ABC",1504138000,2435115000,523166000,125300000,11013171000,1797945000,397603000,35316470000,364484000,2064461000,26818165000,24303299000,10303324000,153143826000,33252009000,920769000
"ABT",2017,"2017 ABT",5.57e+09,9.407e+09,1.923e+09,9.04e+08,8.9e+09,7.607e+09,1.046e+09,7.625e+10,4.77e+08,3.0897e+10,8.912e+09,2.0147e+10,5.249e+09,2.739e+10,4.5353e+10,2.969e+09
"ADBE",2017,"2017 ADBE",2912853000,2306072000,1081485000,74402000,7287743000,936976000,325997000,14535556000,1693954000,8459869000,3527457000,7247813000,1217968000,7301505000,6075687000,1407482000
"ADI",2017,"2017 ADI",1112592000,226160000,718920000,250840000,17682652000,1107304000,194666000,21141294000,727259000,10161540000,1596332000,2351338000,688953000,5107503000,10979754000,913586000
"ADM",2017,"2017 ADM",2.211e+09,8.04e+08,5.05e+08,3.3e+08,1.0138e+10,1.0138e+10,9.24e+08,3.9963e+10,1.595e+09,1.8322e+10,1.257e+10,1.9925e+10,1.947e+09,6.0828e+10,2.1641e+10,1.429e+09
"ADP",2017,"2017 ADP",2125900000,2780400000,298300000,8e+07,4521300000,779900000,316100000,3.718e+10,1733400000,3.977e+09,29815900000,32658700000,1703600000,12379800000,3.3203e+10,614400000
"AEE",2017,"2017 AEE",2.104e+09,1e+07,1.105e+09,3.91e+08,2.4333e+10,2.1466e+10,8.76e+08,2.5945e+10,5.23e+08,7.184e+09,2.94e+09,1.612e+09,4.45e+08,6.177e+09,1.8761e+10,1.981e+09
"AES",2017,"2017 AES",2.489e+09,9.49e+08,1.282e+09,1.17e+09,2.6714e+10,2.0296e+10,1.005e+09,3.3112e+10,-1.161e+09,2.465e+09,6.028e+09,6.398e+09,1.463e+09,1.053e+10,3.0647e+10,2.287e+09
"AKAM",2017,"2017 AKAM",800983000,313382000,221604000,18839000,3293972000,862535000,372313000,4602844000,218321000,3310723000,463904000,1308872000,459127000,2502996000,1292121000,593917000
"ALB",2017,"2017 ALB",303979000,1137303000,455091000,61243000,2996661000,2493310000,196928000,7750772000,54850000,3674549000,1200925000,2477563000,534326000,3071976000,4076223000,652019000
"ALLE",2017,"2017 ALLE",347200000,466200000,395700000,105700000,571100000,252200000,61600000,2.542e+09,273300000,401600000,460800000,1032700000,296600000,2408200000,2140400000,457300000
"AMAT",2017,"2017 AMAT",3.609e+09,1.346e+09,3.217e+09,1.98e+08,1.186e+09,1.066e+09,2.14e+08,1.9419e+10,3.434e+09,9.349e+09,4.115e+09,1.2918e+10,2.338e+09,1.4537e+10,1.007e+10,3.431e+09
"AMD",2017,"2017 AMD",6.8e+07,1.185e+09,-4.6e+07,1.26e+08,9.18e+08,2.61e+08,7.7e+07,3.54e+09,4.3e+07,6.11e+08,1.486e+09,2.622e+09,4e+08,5.329e+09,2.929e+09,3.1e+07
"AME",2017,"2017 AME",833259000,646300000,348876000,98029000,5861409000,493296000,8.2e+07,7796064000,681470000,4027633000,1138663000,1934655000,668176000,4300170000,3768431000,430876000
"AMGN",2017,"2017 AMGN",1.1177e+10,5.09e+08,9.597e+09,1.3e+09,3.0478e+10,4.989e+09,1.955e+09,7.9954e+10,1.979e+09,2.5241e+10,9.02e+09,4.9476e+10,3.237e+09,2.1795e+10,5.4713e+10,1.1552e+10
"AMZN",2017,"2017 AMZN",1.8434e+10,2.0522e+10,-1.824e+09,8.48e+08,7.1113e+10,2.9783e+10,1.1478e+10,1.3131e+11,3.033e+09,2.7709e+10,5.7883e+10,6.0197e+10,1.3164e+10,7.38e+08,1.03601e+11,9.654e+09
"ANSS",2017,"2017 ANSS",430438000,568587000,51247000,199000,1671357000,57096000,17900000,2941623000,259251000,2245831000,608553000,1270266000,124659000,1095250000,695792000,69147000
"AOS",2017,"2017 AOS",326400000,346600000,190900000,10100000,604100000,528900000,70100000,3197300000,296500000,1648800000,788500000,1766800000,598400000,2996700000,1548500000,2.61e+08
"APD",2017,"2017 APD",2534100000,3273600000,666200000,120600000,12590500000,8440200000,865800000,18467200000,3000400000,10086200000,2.489e+09,5876700000,1.174e+09,8187600000,8.381e+09,1.532e+09
"APH",2017,"2017 APH",1144200000,1719100000,1199400000,92300000,5347900000,816800000,226800000,10003900000,650500000,3989800000,1579400000,4.656e+09,1598600000,7011300000,6014100000,1426200000
"APTV",2017,"2017 APTV",1.468e+09,1.596e+09,1.287e+09,1.4e+08,6.528e+09,2.804e+09,4.29e+08,1.2169e+10,1.355e+09,3.299e+09,3.54e+09,5.641e+09,2.44e+09,1.2884e+10,8.87e+09,1.716e+09
"ATVI",2017,"2017 ATVI",2.213e+09,2.69e+08,9.66e+08,1.45e+08,1.2148e+10,2.94e+08,1.3e+08,1.8668e+10,2.73e+08,9.462e+09,3.663e+09,6.52e+09,9.18e+08,7.017e+09,9.206e+09,1.096e+09
"AVY",2017,"2017 AVY",650100000,224400000,540500000,6.3e+07,2.899e+09,1097900000,178700000,5136900000,353200000,1046200000,1971800000,2237900000,1180300000,6613800000,4090700000,719200000
"AZO",2017,"2017 AZO",1570612000,293270000,188088000,159329000,4648526000,4031018000,323051000,9259781000,1280869000,-1428377000,4766301000,4611255000,280733000,10888676000,10688158000,511139000
"BA",2017,"2017 BA",1.3344e+10,8.813e+09,4.32e+08,5.27e+08,2.7172e+10,1.2672e+10,2.069e+09,9.2333e+10,8.197e+09,3.55e+08,5.6269e+10,6.5161e+10,1.0516e+10,9.3392e+10,9.1978e+10,2.501e+09
"BDX",2017,"2017 BDX",2.55e+09,1.4179e+10,1.362e+09,5.21e+08,1.9101e+10,4.638e+09,1.088e+09,3.7734e+10,1.1e+09,1.2948e+10,3.342e+09,1.8633e+10,1.744e+09,1.2093e+10,2.4786e+10,2.45e+09
"BIIB",2017,"2017 BIIB",4.551e+09,1229400000,1588400000,250800000,3182400000,3182400000,1.081e+09,23652600000,2539100000,12612800000,3368200000,7873300000,1.787e+09,12273900000,11039800000,2669400000
"BMY",2017,"2017 BMY",5.275e+09,5.421e+09,2.851e+09,1.96e+08,1.8697e+10,5.001e+09,7.89e+08,3.3551e+10,1.007e+09,1.1741e+10,9.563e+09,1.4854e+10,4.347e+09,2.0776e+10,2.181e+10,3.64e+09
"BSX",2017,"2017 BSX",1.426e+09,1.67e+08,1.341e+09,2.29e+08,1.4531e+10,1.697e+09,8.44e+08,1.9042e+10,1.285e+09,7.012e+09,5.654e+09,3.822e+09,1.645e+09,9.048e+09,1.203e+10,2.185e+09
"CA",2017,"2017 CA",1.078e+09,2.771e+09,2.86e+08,9e+07,8.877e+09,2.37e+08,3.2e+08,1.261e+10,7.75e+08,5.689e+09,3.006e+09,3.733e+09,7.64e+08,4.036e+09,6.921e+09,6.06e+08
"CAG",2017,"2017 CAG",1175500000,251400000,800700000,223700000,8083100000,1664900000,234400000,10096300000,639300000,3990800000,1720500000,2013200000,563400000,7826900000,6105500000,1035100000
"CAH",2017,"2017 CAH",1.184e+09,6.879e+09,1.52e+08,2.01e+08,1.1767e+10,1.879e+09,7.17e+08,4.0112e+10,1.279e+09,6.808e+09,2.1221e+10,2.8345e+10,8.048e+09,1.29976e+11,3.3304e+10,8.69e+08
"CCL",2017,"2017 CCL",5.322e+09,3.95e+08,2.666e+09,1.98e+08,3.9182e+10,3.443e+10,1.846e+09,4.0778e+10,2.606e+09,2.4216e+10,8.8e+09,1.596e+09,3.12e+08,2.36e+08,1.6562e+10,4.512e+09
"CDNS",2017,"2017 CDNS",470740000,688087000,233427000,25664000,1438726000,251342000,115524000,2418714000,204101000,989202000,642398000,979988000,190426000,336297000,1429512000,348951000
