tic;sic
0051B;6099
1974B;4210
2091B;6099
3CCIKO;6798
4741B;2060
4764B;3021
5050B;3630
5235B;6200
5236B;6200
5237B;6200
5238B;6200
6525B;2011
6712B;3674
9297B;2844
A;3826
AABA;7370
AAL;4512
AAMRQ;4512
AAP;5531
AAPL;3663
ABBV;2836
ABC;5122
ABMD;3841
ABT;3845
ACGL;6331
ACN;8742
ADBE;7370
ADI;3674
ADM;2070
ADP;7374
ADSK;7370
ADT;7380
AEE;4931
AEP;4911
AEPPL;4911
AEPPZ;4911
AES;4991
AESC;4991
AET;6324
AFL;6321
AGN;2834
AHC.2;1311
AIG;6331
AIV;6798
AIZ;6351
AJG;6411
AKAM;7370
ALB;2810
ALGN;3843
ALK;4512
ALL;6331
ALLE;3420
ALTR;3420
ALXN;2836
AMAT;3559
AMCO30;2670
AMCR;2670
AMD;3674
AME;3823
AMG;6282
AMGN;2836
AMP;6211
AMT;6798
AMZN;5961
AN;5500
ANDV;2911
ANET;3576
ANF;5651
ANRZQ;1220
ANSS;7372
ANTX.2;6324
AON;6411
AOS;3630
APA;1311
APC;1311
APD;2810
APH;3678
APOL;8200
APTV;3714
ARE;6798
ARG;5084
ARNC;3350
ATGE;8200
ATI;3350
ATO;4924
ATUS;4841
ATVI;7372
AVB;6798
AVGO;3674
AVP;2844
AVY;2670
AWK;4941
AXP;6141
AYI;3640
AZO;5531
BA;3721
BAC;6020
BAC.PB;6020
BAC.PE;6020
BAC.PL;6020
BAC.PM;6020
BALL;3411
BAX;2834
BBBY;5700
BBWI;5990
BBY;5731
BCR;3841
BDX;3841
BEAM;2836
BEN;6282
BF.A;2085
BF.B;2085
BHF;6311
BIG;5331
BIIB;2836
BIO;3826
BIO.B;3826
BK;6020
BKNG;7370
BKR;1389
BLK;6282
BMC;7372
BML.PH;6020
BML.PJ;6020
BML.PL;6020
BML.PN;6020
BML.PO;6020
BML.PQ;6020
BMS;2670
BMY;2834
BMYMP;2834
BR;7373
BRCM;3674
BRK.A;9997
BRK.B;9997
BRO;6411
BSX;3845
BTU;1220
BTUUQ;1220
BWA;3714
BXLT;2836
BXP;6798
C;6199
CA;7372
CAG;2000
CAH;5122
CAM;3533
CARR;3585
CAT;3531
CB;6331
CBE;3640
CBOE;6200
CBRE;6531
CCI;6798
CCL;4400
CDAY;7370
CDAY.;7370
