"Ticker","Year"
"A","2021"
"A","2022"
"A","2020"
"A","2018"
"A","2019"
"A","2016"
"A","2017"
"A","2015"
"AABA","2016"
"AABA","2015"
"AAL","2020"
"AAL","2016"
"AAL","2018"
"AAL","2022"
"AAL","2019"
"AAL","2017"
"AAL","2015"
"AAL","2021"
"AAP","2015"
"AAP","2021"
"AAP","2022"
"AAP","2019"
"AAP","2017"
"AAP","2018"
"AAP","2020"
"AAP","2016"
"AAPL","2020"
"AAPL","2016"
"AAPL","2022"
"AAPL","2018"
"AAPL","2019"
"AAPL","2017"
"AAPL","2021"
"AAPL","2015"
"ABBV","2021"
"ABBV","2022"
"ABBV","2018"
"ABBV","2015"
"ABBV","2017"
"ABBV","2016"
"ABBV","2019"
"ABBV","2020"
"ABC","2019"
"ABC","2016"
"ABC","2021"
"ABC","2015"
"ABC","2022"
"ABC","2017"
"ABC","2018"
"ABC","2020"
"ABMD","2019"
"ABMD","2018"
"ABMD","2021"
"ABMD","2020"
"ABT","2020"
"ABT","2016"
"ABT","2018"
"ABT","2022"
"ABT","2015"
"ABT","2019"
"ABT","2017"
"ABT","2021"
"ACN","2020"
"ACN","2018"
"ACN","2015"
"ACN","2016"
"ACN","2019"
"ACN","2021"
"ACN","2017"
"ACN","2022"
"ADBE","2017"
"ADBE","2022"
"ADBE","2015"
"ADBE","2020"
"ADBE","2019"
"ADBE","2016"
"ADBE","2018"
"ADBE","2021"
"ADI","2019"
"ADI","2017"
"ADI","2021"
"ADI","2015"
"ADI","2018"
"ADI","2020"
"ADI","2016"
"ADI","2022"
"ADM","2016"
"ADM","2018"
"ADM","2021"
"ADM","2015"
"ADM","2022"
"ADM","2019"
"ADM","2020"
"ADM","2017"
"ADP","2020"
"ADP","2021"
"ADP","2022"
"ADP","2016"
"ADP","2015"
"ADP","2019"
"ADP","2018"
"ADP","2017"
"ADSK","2017"
"ADSK","2015"
"ADSK","2020"
"ADSK","2018"
"ADSK","2021"
"ADSK","2019"
"ADSK","2016"
"ADSK","2022"
"ADT","2015"
"AEE","2015"
"AEE","2018"
"AEE","2022"
"AEE","2020"
"AEE","2017"
"AEE","2019"
"AEE","2021"
"AEE","2016"
"AEP","2015"
"AEP","2019"
"AEP","2016"
"AEP","2022"
"AEP","2021"
"AEP","2020"
"AEP","2018"
"AEP","2017"
"AES","2015"
"AES","2022"
"AES","2021"
"AES","2020"
"AES","2017"
"AES","2018"
"AES","2019"
"AES","2016"
"AGN","2018"
"AGN","2019"
"AGN","2017"
"AGN","2016"
"AGN","2015"
"AKAM","2022"
"AKAM","2021"
"AKAM","2016"
"AKAM","2019"
"AKAM","2015"
"AKAM","2017"
"AKAM","2020"
"AKAM","2018"
"ALB","2016"
"ALB","2022"
"ALB","2020"
"ALB","2021"
"ALB","2018"
"ALB","2019"
"ALB","2017"
"ALGN","2019"
"ALGN","2017"
"ALGN","2022"
"ALGN","2018"
"ALGN","2020"
"ALGN","2021"
"ALK","2019"
"ALK","2018"
"ALK","2022"
"ALK","2021"
"ALK","2016"
"ALK","2017"
"ALK","2020"
"ALLE","2022"
