"start","end","val","accn","fy","fp","form","filed","frame","desc","symbol"
NA,"2022-12-31",93900000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AccountsAndNotesReceivableNet","TER"
NA,"2022-12-31",139722000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AccountsPayableCurrent","TER"
NA,"2022-12-31",491145000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AccountsReceivableNetCurrent","TER"
NA,"2022-12-31",65010000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AccruedIncomeTaxesCurrent","TER"
NA,"2022-12-31",59135000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AccruedIncomeTaxesNoncurrent","TER"
NA,"2022-12-31",905699000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment","TER"
NA,"2022-12-31",-49868000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AccumulatedOtherComprehensiveIncomeLossNetOfTax","TER"
NA,"2022-12-31",1755963000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AdditionalPaidInCapitalCommonStock","TER"
"2022-01-01","2022-12-31",19912000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","AdjustmentForAmortization","TER"
"2022-01-01","2022-12-31",1512000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt","TER"
"2022-01-01","2022-12-31",48466000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue","TER"
"2022-01-01","2022-12-31",17300000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","AdvertisingExpense","TER"
"2022-01-01","2022-12-31",48228000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","AllocatedShareBasedCompensationExpense","TER"
"2022-01-01","2022-12-31",36735000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","AllocatedShareBasedCompensationExpenseNetOfTax","TER"
NA,"2022-12-31",1955000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AllowanceForDoubtfulAccountsReceivableCurrent","TER"
"2022-01-01","2022-12-31",209000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","AmortizationOfDebtDiscountPremium","TER"
"2022-01-01","2022-12-31",19333000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","AmortizationOfIntangibleAssets","TER"
NA,"2022-12-31",3501252000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","Assets","TER"
NA,"2022-12-31",2257915000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AssetsCurrent","TER"
NA,"2022-12-31",4782000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost","TER"
NA,"2022-12-31",4232000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue","TER"
NA,"2022-12-31",33045000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost","TER"
NA,"2022-12-31",31466000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue","TER"
NA,"2022-12-31",39065000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost","TER"
NA,"2022-12-31",30981000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue","TER"
NA,"2022-12-31",106291000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate","TER"
NA,"2022-12-31",116842000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis","TER"
NA,"2022-12-31",39950000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost","TER"
NA,"2022-12-31",39612000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue","TER"
NA,"2022-12-31",128991000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","BuildingsAndImprovementsGross","TER"
"2022-01-01","2022-12-31",0,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1","TER"
"2022-01-01","2022-12-31",1826000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","CapitalExpendituresIncurredButNotYetPaid","TER"
NA,"2022-12-31",854773000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","CashAndCashEquivalentsAtCarryingValue","TER"
NA,"2022-12-31",854773000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022Q4I","CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents","TER"
"2022-01-01","2022-12-31",-267426000,"0001193125-23-044711",2022,"FY","10-K","2023-02-22","CY2022","CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect","TER"
